year,team_name,conference,division,Jersey,player_name,Yr,Pos,App,GS,ERA,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,KL,Ht,B/T,team_id,conference_id,player_id,player_url
2025,Adrian,Michigan Intercol. Ath. Assn.,3,36,Broc Shoemaker,Jr,P,1,0,0.0,0.2,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,6-0,L/L,597209,873,d3d-8015120,http://stats.ncaa.org/players/8878912
2025,Adrian,Michigan Intercol. Ath. Assn.,3,29,Jaxon Clark,Jr,P,1,1,0.0,6.0,5,0,0,4,7,0,26,21,0,0,0,0,1,0,0,0,0,1,0,93,7,3,1,0,0,3,6-2,R/R,597209,873,8881182,http://stats.ncaa.org/players/8881182
2025,Adrian,Michigan Intercol. Ath. Assn.,3,21,Lincoln Lipinski,Jr,P,1,0,3.0,3.0,1,1,1,0,2,0,10,9,0,0,0,1,0,1,0,0,0,0,0,27,3,3,0,0,1,0,6-1,R/R,597209,873,d3d-8015094,http://stats.ncaa.org/players/8889611
2025,Adrian,Michigan Intercol. Ath. Assn.,3,45,Daniel Gutierrez,Sr,P,1,1,9.0,3.0,6,3,3,1,2,0,16,14,2,0,1,0,0,0,0,0,0,0,1,56,0,6,0,1,0,0,6-8,R/R,597209,873,8885579,http://stats.ncaa.org/players/8885579
2025,Adrian,Michigan Intercol. Ath. Assn.,3,46,Landon Kozlowski,So,P,1,1,2.45,3.2,4,1,1,1,1,0,18,15,2,0,0,0,0,2,0,0,0,0,0,58,6,3,0,0,0,0,6-3,R/R,597209,873,8876555,http://stats.ncaa.org/players/8876555
2025,Adrian,Michigan Intercol. Ath. Assn.,3,18,Raymond Keane,Sr,P,1,0,27.0,1.0,0,3,3,3,1,0,8,4,0,0,0,0,1,1,0,0,0,0,0,30,2,0,0,0,0,0,6-6,R/R,597209,873,9216894,http://stats.ncaa.org/players/9216894
2025,Adrian,Michigan Intercol. Ath. Assn.,3,32,Ben Bates,So,P,1,0,0.0,1.1,1,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,17,3,1,1,0,0,0,6-0,R/R,597209,873,8881677,http://stats.ncaa.org/players/8881677
2025,Adrian,Michigan Intercol. Ath. Assn.,3,16,Cody Keller,So,OF,1,0,9.0,1.0,0,1,1,1,2,0,5,3,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,6-2,R/R,597209,873,9116021,http://stats.ncaa.org/players/9116021
2025,Adrian,Michigan Intercol. Ath. Assn.,3,43,Griffin Firestine,Sr,P,1,0,20.25,1.1,2,4,3,2,0,0,8,4,1,0,0,0,0,0,0,0,0,1,1,20,2,1,0,0,0,0,5-11,R/R,597209,873,8891942,http://stats.ncaa.org/players/8891942
2025,Adrian,Michigan Intercol. Ath. Assn.,3,41,Sean Parker,Fr,P,1,0,7.71,2.1,5,3,2,2,2,0,15,13,1,2,0,0,1,0,0,0,0,0,0,58,1,4,0,0,0,0,6-1,R/R,597209,873,9216941,http://stats.ncaa.org/players/9216941
2025,Adrian,Michigan Intercol. Ath. Assn.,3,39,Logan Hunt,Jr,P,1,0,16.2,1.2,1,3,3,2,1,0,7,5,0,0,2,0,1,0,0,0,0,0,0,33,1,2,0,0,0,0,6-2,R/R,597209,873,d3d-9216936,http://stats.ncaa.org/players/9216936
2025,Alfred St.,AMCC,3,2,Z. Nelson,,p,1,1,9.0,3.0,5,4,3,1,0,0,17,14,0,1,0,0,0,2,0,0,0,0,0,0,2,6,1,0,0,0,-,,597205,30022,9301254,http://stats.ncaa.org/players/9301254
2025,Alfred St.,AMCC,3,5,Zachary Miner,Jr,P,1,0,0.0,1.0,0,0,0,1,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6-1,L/L,597205,30022,8877277,http://stats.ncaa.org/players/8877277
2025,Alfred St.,AMCC,3,23,Spencer Riehler,Sr,P,3,0,8.59,7.1,10,7,7,1,3,0,35,32,4,0,0,0,1,2,0,0,0,0,0,35,9,9,0,0,0,0,6-4,R/R,597205,30022,d3d-7573495,http://stats.ncaa.org/players/8882553
2025,Alfred St.,AMCC,3,19,Daniel Lewis,So,P,2,0,3.38,2.2,2,1,1,0,2,0,10,10,0,0,0,0,2,0,0,0,0,0,0,0,4,2,0,0,1,0,6-1,R/R,597205,30022,d3d-8417918,http://stats.ncaa.org/players/8897540
2025,Alfred St.,AMCC,3,28,Ryan Bailey,Sr,P,2,2,4.15,13.0,9,6,6,2,15,0,47,45,2,1,0,1,0,0,0,0,0,0,0,100,11,9,1,1,0,5,6-2,R/R,597205,30022,8893350,http://stats.ncaa.org/players/8893350
2025,Alfred St.,AMCC,3,33,Christopher Mattoon,Sr,P,1,1,9.0,5.0,9,5,5,1,2,0,25,23,3,0,0,0,0,1,0,0,0,0,0,0,7,5,1,0,0,0,6-1,R/R,597205,30022,9112161,http://stats.ncaa.org/players/9112161
2025,Alvernia,MAC Commonwealth,3,46,Ronald Kopcho,So,INF,1,0,4.5,2.0,1,1,1,5,1,0,12,6,1,0,0,0,1,0,0,0,0,0,1,56,1,4,0,0,0,0,5-10,R/R,597094,28744,d3d-8491309,http://stats.ncaa.org/players/8888285
2025,Alvernia,MAC Commonwealth,3,22,Christopher Sasso,Jr,P,1,1,3.0,3.0,0,1,1,7,5,0,15,8,0,0,0,0,0,0,0,0,0,0,0,73,1,2,0,0,0,5,6-2,L/L,597094,28744,8885678,http://stats.ncaa.org/players/8885678
